;lat;lon
Amsterdam;52.370216;4.895168
Antwerp;51.260197;4.402771
Athens;37.98381;23.727539
Barcelona;41.390205;2.154007
Berlin;52.520008;13.404954
Bern;46.94809;7.44744
Brussels;50.85045;4.34878
Calais;50.954468;1.862801
Cologne;50.941357;6.958307
Copenhagen;55.676098;12.568337
Edinburgh;55.953251;-3.188267
Frankfurt;50.110924;8.682127
Geneva;46.204391;6.143158
Genoa;44.414165;8.942184
Hamburg;53.551086;9.993682
Le Havre;49.490002;0.1
Lisbon;38.736946;-9.142685
London;51.509865;-0.118092
Luxembourg;49.611622;6.131935
Lyon;45.76342;4.834277
Madrid;40.4167754;-3.7037902
Marseille;43.296398;5.37
Milan;45.464664;9.18854
Munich;48.137154;11.576124
Naples;40.853294;14.305573
Nice;43.675819;7.289429
Paris;48.864716;2.349014
Prague;50.073658;14.41854
Rome;41.902782;12.496366
Rotterdam;51.9244201;4.4777325
Strasbourg;48.5839195;7.7455301
Stuttgart;48.783333;9.183333
The Hague;52.078663;4.288788
Turin;45.116177;7.742615
Venice;45.438759;12.327145
Vienna;48.210033;16.363449
Zurich;47.3686498;8.5391825
